scorer,,,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David,David
bodyparts,,,nose,nose,eye_left,eye_left,eye_right,eye_right,ear_left,ear_left,ear_right,ear_right,front_paw_left,front_paw_left,front_paw_right,front_paw_right,body_center,body_center,tail_base,tail_base,lever_tip,lever_tip,upper_lever_tip,upper_lever_tip,stick_head,stick_head,ball,ball,sliding_door,sliding_door,sliding_door_top_left,sliding_door_top_left,sliding_door_top_right,sliding_door_top_right,sliding_door_bottom_left,sliding_door_bottom_left,sliding_door_bottom_right,sliding_door_bottom_right,plateau_middle_front,plateau_middle_front,plateau_middle_back,plateau_middle_back,plateau_right_front,plateau_right_front
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,E1_front,img01103.png,721.3225469709827,374.2050834,,,708.7971391722983,345.8838866,747.4306833490159,300.77453724636496,675.1850787593331,285.3979389722095,,,675.4500199864871,373.9835452844272,706.2369244157048,252.3196338051088,,,526.8054604732752,448.4428381010292,507.9004848392961,111.1222574685409,261.6320996058411,477.0741149737032,687.2335801460313,437.6143750560696,665.8125784764588,400.40947741944376,594.5351390718057,383.38014144443855,730.9032092712846,376.2291328851976,605.1785006483505,410.3211504350673,749.5290920302376,405.3320747,311.2386297880089,545.6059537319093,317.0722241667565,403.1929713771841,848.0404486311787,522.1884751687012
labeled-data,E1_front,img02119.png,712.9544828569366,379.9761620654612,730.7240362603433,334.10049688674815,693.9565531131889,340.8883399292998,736.6927131547417,273.0818772716577,668.6857810101673,280.5941102010868,742.7741556332294,373.51441674105087,,,708.6576210905415,236.3155591927746,,,,,501.97071075697886,108.81903561629896,254.9395851141942,476.3570598495982,687.2335801460313,437.6143750560696,670.2598791105185,402.7501619636857,596.3042909461434,385.90750126492105,,,606.9476525226881,412.8485102555498,751.2982439045753,407.85943451654447,311.2386297880089,546.4105151146878,317.0722241667565,403.1929713771841,848.0404486311787,522.1884751687012
labeled-data,E1_front,img02767.png,562.7541287395154,441.3494637217006,,,525.5158169368447,416.6118343478033,509.8040887197384,346.9451160548615,476.0136027,370.2849363267368,,,,,400.1440465,309.95398486928264,,,,,509.5350050576474,108.58981457688476,253.22180804493783,476.3570598495982,687.2335801460313,437.6143750560696,668.5776761217566,396.0213500086374,592.5132512154197,378.8308937675701,728.8813214148986,371.6798852083291,603.1566127919644,405.7719027581988,747.5072041738516,400.7828270191935,311.2386297880089,546.4105151146878,317.0722241667565,403.1929713771841,848.0404486311787,522.1884751687012
labeled-data,E1_front,img02778.png,636.1114543858321,403.5955382835005,,,607.8224204221883,379.08343483116994,573.6616803612372,304.12802490496017,560.6630848629052,338.03740446582617,,,,,467.4202090368742,294.42746516720547,357.2359132729592,406.2939639198826,,,509.4614392448556,110.1627278198392,251.8935632,475.74293901640056,688.4167873830324,437.3953644153626,669.8821263258641,395.8521585975716,,,728.6285854328503,371.6798852,,,747.2544681918033,400.7828270191934,310.4608343521486,545.7640887,,,844.6838953,520.9089532691853
labeled-data,E1_front,img02919.png,512.0179442182581,448.26051055232335,511.3813163893508,413.9592014496081,,,531.8308577621276,346.0003116162223,506.904934271453,317.2396306654439,573.8433033153685,452.9452274015959,,,614.8073610608787,269.59753370617057,,,509.9139031770634,109.54460828490916,,,250.93383394113948,476.5321599624992,682.3655458573895,436.2673069591512,682.1155523270972,409.4321580106623,,,,,,,746.2435242636104,401.5410349653383,310.4608343521486,545.7640887,318.4733624014456,403.3538697329029,844.6838953,520.9089532691853
labeled-data,E1_front,img03038.png,,,,,,,,,,,,,,,56.00884321966761,313.3501452689873,88.27802253565437,415.4428735061816,508.2879158077117,110.39216352362696,,,251.5788740989468,475.78636407224224,686.1728553,433.0825839650213,669.8460132651338,396.2780079299978,590.4913633590337,378.0726858214253,726.8594335585126,370.9216772621844,601.1347249355784,405.0136948120541,745.4853163174656,400.0246190730487,310.4608343521486,545.7640887,318.4733624014456,403.3538697329029,844.6838953,520.9089532691853
labeled-data,E1_front,img03256.png,728.4932936987963,362.4036700497724,,,721.7791325547402,338.7658040213068,665.5295470573215,232.77801518798765,707.6231820476463,270.8627325601864,,,,,637.7484629,234.2638001353427,616.9324297816656,356.6214582162833,508.5743543828548,109.76114985958029,,,252.28322187059047,473.5350339,686.3527462337572,436.9439653234096,670.6137943644246,397.85043971248655,,,,,606.1894445765433,407.7937906145848,749.0236201,400.53009103714527,310.4608343521486,545.7640887,318.4733624014456,403.3538697329029,844.6838953,520.9089532691853
labeled-data,E1_front,img03277.png,,,,,,,,,,,,,,,,,657.0079321449143,294.9453333213955,509.7997704936182,110.58093933202731,,,251.0637522359566,475.3135697498135,688.2546600355251,435.7270595645339,670.8564536059902,396.8369510749849,593.0187231795162,381.6109895701008,727.6176415046574,373.19630110061854,605.9367085944951,407.0355827,749.5290920302376,400.7828270191935,310.4608343521486,545.7640887,318.4733624014456,403.3538697329029,844.6838953,520.9089532691853
